"编号","开始答题时间","结束答题时间","答题时长","1.过去半年里，您在控制体重或改善体型方面处于什么状态?","2.您认真尝试控制体重大概有多久、试过几次?","3.回顾您所有的减脂尝试，效果最好的一次大概是什么情况?","4.回想您减脂""没坚持下去""或""没达到预期""的经历，您觉得最主要的原因是?","4.回想您减脂""没坚持下去""或""没达到预期""的经历，您觉得最主要的原因是?[选项填空]","5.在减脂这件事上，您过去实际接受过哪种外部指导?","6.当您决定开始（或重新开始）减脂时，您通常怎么准备?","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【自己做饭】在家自己买菜做饭","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【食堂】公司或学校食堂","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【外卖】外卖平台点餐","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【外出就餐】去餐厅、小吃店等","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【家人做饭】家人负责做饭","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【便利食品】便利店、预制餐、代餐等","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【自己做饭】在家自己买菜做饭","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【食堂】公司或学校食堂","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【外卖】外卖平台点餐","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【外出就餐】去餐厅、小吃店等","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【家人做饭】家人负责做饭","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【便利食品】便利店、预制餐、代餐等","9.您是否用过AI聊天工具（如ChatGPT、豆包、Kimi等）来咨询健康、饮食、情绪或其他个人问题?","9.您是否用过AI聊天工具（如ChatGPT、豆包、Kimi等）来咨询健康、饮食、情绪或其他个人问题?[选项填空]","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【个性化】是否针对我的具体情况，而不是给通用建议","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【专业性】是否有科学依据或专业知识支撑","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【记忆力】是否记得我之前说过的话和情况","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【态度】语气是否让我舒服，不会有压力或被审判感","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【可执行】能否给出我实际能做到的具体行动建议","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【交流风格】交流方式让我感到舒服","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【不确定】体验不多，说不好","11.您目前的居住情况?","12.对于健康或运动类App的推送通知（比如提醒你记录饮食、该运动了等），您更希望怎样?","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:A.手机App（独立应用）","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:B.微信小程序","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:C.手机网页","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:D.电脑网页","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:E.其他____","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:E.其他____[选项填空]","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:A.手机App（独立应用）","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:B.微信小程序","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:C.手机网页","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:D.电脑网页","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:E.其他____","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:E.其他____[选项填空]","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【社交媒体】刷或搜小红书、抖音、B站、微信等平台的相关内容","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【搜索引擎】在百度、Google等搜索具体问题","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【问AI】用ChatGPT、豆包、Kimi等AI工具咨询","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【问身边人】问朋友、家人或同事","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【专业人士】咨询医生、营养师或教练","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【不太找】基本不主动找信息，凭自己感觉和经验","16.过去一年中，在控制体重这件事上，您大概花了多少钱（人民币）?","17.您的性别","18.您的年龄段","19.您目前所在城市属于哪一类?","20.您日常最常使用的内容平台是?:小红书","20.您日常最常使用的内容平台是?:抖音","20.您日常最常使用的内容平台是?:微信公众号/视频号","20.您日常最常使用的内容平台是?:B站","20.您日常最常使用的内容平台是?:知乎","20.您日常最常使用的内容平台是?:微博","20.您日常最常使用的内容平台是?:其他 ____","20.您日常最常使用的内容平台是?:其他 ____[选项填空]","21.您觉得以下哪个描述最接近您目前的体重状况?","22.您如何评价您在当下或近期的减肥/减脂/体重管理意愿强度？","23.如果您曾认真跟着某个人的建议（私教、营养师、朋友或网上方法）减脂过，请说说：他们做了什么让您坚持下来?或者为什么后来没坚持下来?","24.我们正在开发一款AI行为教练减脂产品，近期将邀请少量用户免费优先体验。体验前会进行一次10-15分钟的简短沟通（线上），了解您的真实需求，确保产品对您有帮助。如果您感兴趣，请留下微信号，我们会单独联系您。","25.如果您知道自己的MBTI类型，请选择","26.请简要描述最近一次您""本来不打算吃/喝但还是吃了""的经历——当时什么时间、什么场景、事后怎么想的?（3-5句话即可）","27.如果您曾认真跟着某个人的建议（私教、营养师、朋友或网上方法）减脂过，请说说：他们做了什么让您坚持下来?或者为什么后来没坚持下来?","28.我们正在开发一款AI行为教练减脂产品，近期将邀请少量用户免费优先体验。体验前会进行一次15-20分钟的简短沟通（线上或线下），了解您的真实需求，确保产品对您有帮助。如果您感兴趣，请留下联系方式（微信号），我们会单独联系您。","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","用户类型","用户标识","昵称","自定义字段","IP","UA","Referrer","投放名称","配额分组名称",
"100","17-Apr-2026 09:21:53","17-Apr-2026 09:22:45","52","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","C.【中期少次】1-3年，1-2次","A.【成功维持】达到了目标体重或体型，并维持了3个月以上","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","A.【跟过专业人士】认真按私教、营养师或医生的指导执行过","B.【大致方向】心里有个大概目标和方向，但不会细化到每天","6","5","1","4","2","3","1","6","2","3","4","5","B.【只聊工作】用过，但只问工作、学习等功能性问题，没聊过个人话题","","","","","","","","","B.【与伴侣/家人同住】和伴侣或家人住在一起","A.【高频】每天6次以上，只要内容有用就欢迎","4","1","2","3","","","2","3","1","4","","","1","6","2","3","4","5","B.【数百元】","A.男","B.25-30岁","B.【新一线】杭州、成都、南京、武汉、重庆、苏州、西安、长沙、天津等","A.小红书","","C.微信公众号/视频号","","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","8","","","D.ENTP","用天天盈有一段时间了，整体体验很不错。操作简单易懂，转入转出都很方便，到账速度也快，日常闲置资金放进去很安心。收益稳健，比活期划算不少，平时用来打理零钱、备用金特别合适。界面清晰明了，不用复杂操作就能看懂收益情况，安全性也让人放心，是日常理财的省心选择，已经推荐给身边朋友了。","#你的2026年中奋斗小目标#年中是新的起点，也是一次自我复盘。愿接下来的日子，专注自我成长，远离无用社交，精简生活，沉淀内心。坚持自律作息，坚持学习进步，保持积极向上的状态。努力搞事业，提升收入，照顾好情绪与身体。不慌不忙，默默努力，慢慢变好，相信所有坚持都会有收获，下半年全力以赴，不负时光，不负自己。","#你的2026年中奋斗小目标# 年中是新的起点，也是一次自我复盘。愿接下来的日子，专注自我成长，远离无用社交，精简生活，沉淀内心。坚持自律作息，坚持学习进步，保持积极向上的状态。努力搞事业，提升收入，照顾好情绪与身体。不慌不忙，默默努力，慢慢变好，相信所有坚持都会有收获，下半年全力以赴，不负时光，不负自己。","简体中文","未清洗","","中国","四川省","广安市","微信","o86_0jm1BbcOZmUKIPtbdXTilY3c","Onlooker","","240e:476:6308:13b4:c34:72ff:fe10:df80","Mozilla/5.0 (Linux; Android 14; V2307A Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420283 MMWEBSDK/20250804 MMWEBID/5455 MicroMessenger/8.0.63.2920(0x28003FA6) WeChat/arm64","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"99","17-Apr-2026 09:17:14","17-Apr-2026 09:22:38","324","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","D.【中期多次】1-3年，3次以上","B.【有效但反弹】明显瘦了（5斤以上），但后来反弹了","A.【方案难执行】方案太严格或太理想化，放到现实生活中根本做不到","","B.【跟过身边人】认真按朋友或家人的建议执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","1","4","5","2","3","6","6","4","1","2","5","3","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","5","1","2","4","3","6","","B.【与伴侣/家人同住】和伴侣或家人住在一起","B.【中频】每天3-5次，只要内容有用就欢迎","3","1","2","4","","","3","1","2","4","","","3","2","1","","4","","D.【三千到一万】（不含一万）","A.男","C.31-40岁","C.【二线及以下】其他城市","A.小红书","B.抖音","","D.B站","","F.微博","","","B.【中等基数】有一些多余体重，想减5-15斤左右","8","坚持锻炼，保持心情愉快，多吃素食。主要是长期管不住嘴","	18335227611","D.ENTP","吃面食，不吃饿，受不了饥饿。从长久来说还是要坚持","坚持锻炼，吃素食","	1833522611","简体中文","未清洗","","中国","山西省","太原市","微信","o86_0jkvqm3qIZUQkpLSlzI_-PE0","张欢","","111.52.9.14","Mozilla/5.0 (Linux; Android 16; PKV110 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420283 MMWEBSDK/20260202 MMWEBID/6371 MicroMessenger/8.0.70.3060(0x2800463A) WeChat/arm64","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"98","17-Apr-2026 09:17:40","17-Apr-2026 09:22:37","297","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","D.【中期多次】1-3年，3次以上","A.【成功维持】达到了目标体重或体型，并维持了3个月以上","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","C.【直接行动】不太做计划，想到就开始，边做边调整","2","4","3","6","1","5","6","3","2","1","5","4","B.【只聊工作】用过，但只问工作、学习等功能性问题，没聊过个人话题","","","","","","","","","B.【与伴侣/家人同住】和伴侣或家人住在一起","E.【不需要】不想收到推送，更喜欢自己主动使用","1","2","3","4","","","1","2","3","4","","","1","2","3","5","6","4","B.【数百元】","B.女","B.25-30岁","C.【二线及以下】其他城市","A.小红书","B.抖音","","","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","7","","","F.INFP","后悔","无","无","简体中文","未清洗","","中国","江西省","吉安市","微信","o86_0jheIMJZm3J0yRioF1pmKyZY","阿白 ","","240e:460:9884:1f17:48ef:d3ff:fe18:72f4","Mozilla/5.0 (Linux; Android 16; V2338A Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/116.0.0.0 Mobile Safari/537.36 XWEB/1160289 MMWEBSDK/20260201 MMWEBID/5351 REV/32e094a6a2d6ed8c7e619209ec69a6dee3ab204a MicroMes","https://wj.qq.com/channel/sample.html?sid=26364690&hash=7a3f&is_self=1","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"97","17-Apr-2026 09:17:21","17-Apr-2026 09:22:11","290","B.【断断续续】时有时无，没有稳定执行","B.【短期多次】不到1年，3次以上","E.【未能坚持】还没坚持到能看见效果就中断了","A.【方案难执行】方案太严格或太理想化，放到现实生活中根本做不到","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","B.【大致方向】心里有个大概目标和方向，但不会细化到每天","5","4","1","2","3","6","6","4","1","3","5","2","B.【只聊工作】用过，但只问工作、学习等功能性问题，没聊过个人话题","","","","","","","","","B.【与伴侣/家人同住】和伴侣或家人住在一起","D.【低频】一周几次就够了，太频繁会关掉","1","2","3","4","","","1","2","3","4","","","3","5","4","1","2","","B.【数百元】","B.女","A.18-24岁","C.【二线及以下】其他城市","A.小红书","B.抖音","","","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","8","","","G.ENFJ","下午，学习，吃就吃了吧","没这样的经历","Xiyueshifuhao","简体中文","未清洗","","中国","福建省","厦门市","微信","o86_0jqfAR0aJ5OdF1DfrCAYKong","小财迷","","183.251.95.140","Mozilla/5.0 (Phone; OpenHarmony 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 ArkWeb/6.0.0.46SP3 Mobile miniProgram/wxf7ee2adef29032d1 MicroMessenger/8.0.16.55(0xf3801037) Weixin NetType/WIFI Language/zh_CN MMWEBID/8478 MMWEBS","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"96","17-Apr-2026 09:17:38","17-Apr-2026 09:22:10","272","B.【断断续续】时有时无，没有稳定执行","B.【短期多次】不到1年，3次以上","B.【有效但反弹】明显瘦了（5斤以上），但后来反弹了","C.【看不到效果】坚持了一段时间，但看不到明显变化，慢慢就放弃了","","A.【跟过专业人士】认真按私教、营养师或医生的指导执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","1","","2","3","","","3","1","2","","","","E.【经常依赖】经常用AI聊个人问题，已经当作一个可信赖的参考来源","","1","2","5","3","4","7","6","B.【与伴侣/家人同住】和伴侣或家人住在一起","B.【中频】每天3-5次，只要内容有用就欢迎","2","1","3","","","","3","1","2","","","","1","","2","4","3","","C.【一千到三千】（不含三千）","A.男","C.31-40岁","A.【一线】北京、上海、广州、深圳","A.小红书","B.抖音","C.微信公众号/视频号","","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","8","听取营养师建议","","A.INTJ","吃的非常适合开心","一个很好的建议","	15919433381","简体中文","未清洗","","中国","广东省","肇庆市","微信","o86_0jiABUXgArPDb4KFKLB15IZI","冯臣统","","2409:895a:886c:fc94::1","Mozilla/5.0 (Linux; Android 12; GIA-AN00 Build/HONORGIA-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420283 MMWEBSDK/20260202 MMWEBID/6773 MicroMessenger/8.0.70.3060(0x2800463C) WeChat/arm64","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"95","17-Apr-2026 09:20:41","17-Apr-2026 09:21:58","77","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","D.【中期多次】1-3年，3次以上","B.【有效但反弹】明显瘦了（5斤以上），但后来反弹了","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","A.【跟过专业人士】认真按私教、营养师或医生的指导执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","4","3","5","1","2","6","6","1","2","3","4","5","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","1","3","2","4","5","6","","C.【合住】与室友或同学合住（含宿舍）","C.【适度】每天1-2次，帮我保持节奏","1","2","4","3","","","1","2","3","4","","","5","3","4","1","2","","D.【三千到一万】（不含一万）","B.女","B.25-30岁","C.【二线及以下】其他城市","A.小红书","","C.微信公众号/视频号","D.B站","","F.微博","","","B.【中等基数】有一些多余体重，想减5-15斤左右","10","","","G.ENFJ","无","无","无","简体中文","未清洗","","中国","广东省","汕头市","微信","o86_0jmkuagC5Adthx9NAb9m9eX0","丽","","113.103.51.46","Mozilla/5.0 (Linux; Android 10; M2003J15SC Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420283 MMWEBSDK/20241202 MMWEBID/9005 MicroMessenger/8.0.56.2800(0x28003833) WeChat/a","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"94","17-Apr-2026 09:18:26","17-Apr-2026 09:21:58","212","B.【断断续续】时有时无，没有稳定执行","C.【中期少次】1-3年，1-2次","B.【有效但反弹】明显瘦了（5斤以上），但后来反弹了","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","D.【自己来】主要靠自己摸索，也没想过找人指导","C.【直接行动】不太做计划，想到就开始，边做边调整","3","1","5","4","2","6","6","4","1","3","5","2","B.【只聊工作】用过，但只问工作、学习等功能性问题，没聊过个人话题","","","","","","","","","B.【与伴侣/家人同住】和伴侣或家人住在一起","C.【适度】每天1-2次，帮我保持节奏","1","3","2","4","","","1","2","3","4","","","5","4","1","3","2","6","C.【一千到三千】（不含三千）","B.女","C.31-40岁","A.【一线】北京、上海、广州、深圳","A.小红书","B.抖音","C.微信公众号/视频号","","","","","","C.【小基数】体重基本正常范围，想更精致或改善线条（5斤以内或塑形为主）","","无","	13751013863","Q.不知道","无","无","无","简体中文","未清洗","","中国","广东省","深圳市","微信","o86_0jpvlyoHm3FEg7xnfGvNds0s","🎀Yin ღᩚ 💗","","113.116.31.117","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.70(0x1800463a) NetType/WIFI Language/zh_TW","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"93","17-Apr-2026 09:20:43","17-Apr-2026 09:21:54","71","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","B.【短期多次】不到1年，3次以上","A.【成功维持】达到了目标体重或体型，并维持了3个月以上","A.【方案难执行】方案太严格或太理想化，放到现实生活中根本做不到","","A.【跟过专业人士】认真按私教、营养师或医生的指导执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","1","2","3","5","4","6","1","2","4","3","5","6","A.【没用过或极少用】基本没用过AI聊天工具，或频率很低","","","","","","","","","A.【独居】一个人住","A.【高频】每天6次以上，只要内容有用就欢迎","1","2","3","4","","","1","2","3","4","","","1","2","3","4","5","6","B.【数百元】","B.女","C.31-40岁","A.【一线】北京、上海、广州、深圳","A.小红书","B.抖音","C.微信公众号/视频号","","","","","","C.【小基数】体重基本正常范围，想更精致或改善线条（5斤以内或塑形为主）","10","没有","没有","C.ENTJ","没有","没有","没有","简体中文","未清洗","","中国","黑龙江省","哈尔滨市","微信","o86_0jm-E-3_TPlRkTZKOi_6M3ck","雪花","","1.189.236.220","Mozilla/5.0 (Linux; Android 11; PCHM30 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420283 MMWEBSDK/20260202 MMWEBID/9395 MicroMessenger/8.0.70.3060(0x28004634) WeChat/arm64","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"92","17-Apr-2026 09:18:03","17-Apr-2026 09:21:53","230","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","D.【中期多次】1-3年，3次以上","C.【效果有限】有一点效果，但离目标还很远","C.【看不到效果】坚持了一段时间，但看不到明显变化，慢慢就放弃了","","D.【自己来】主要靠自己摸索，也没想过找人指导","B.【大致方向】心里有个大概目标和方向，但不会细化到每天","2","1","","3","","","","","","1","","","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","4","","1","2","3","5","","B.【与伴侣/家人同住】和伴侣或家人住在一起","C.【适度】每天1-2次，帮我保持节奏","1","2","","3","","","1","3","","2","","","1","3","2","","4","","B.【数百元】","B.女","C.31-40岁","B.【新一线】杭州、成都、南京、武汉、重庆、苏州、西安、长沙、天津等","A.小红书","B.抖音","","D.B站","","","","","A.【大基数】明显超重，想减的体重较多（15斤以上）","","","","F.INFP","晚餐时，我本来不想吃，但家人一直劝说，我最终还是吃了。事后我觉得很后悔，打乱了我的减肥计划。","我觉得他说的都是大道理，对我的作用非常有限，导致我没有坚持","	00000","简体中文","未清洗","","中国","重庆市","重庆市","微信","o86_0jtc9-EkYQX4d3nlpnzir1Bw","destroy&reborn","","240e:430:54bb:866d:822:c546:e0a9:fab2","Mozilla/5.0 (Linux; Android 12; OXF-AN10 Build/HUAWEIOXF-AN10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420283 MMWEBSDK/20260202 MMWEBID/8754 REV/720277cc53567bd044b8e7b4a57e97672f3fc295 Micro","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"91","17-Apr-2026 09:18:00","17-Apr-2026 09:21:42","222","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","E.【长期少次】3年以上，1-2次","A.【成功维持】达到了目标体重或体型，并维持了3个月以上","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","1","4","5","2","3","6","3","5","4","2","1","6","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","1","4","2","5","3","6","7","B.【与伴侣/家人同住】和伴侣或家人住在一起","E.【不需要】不想收到推送，更喜欢自己主动使用","1","3","2","4","","","2","1","4","3","","","1","3","2","5","4","","A.【没花过钱】","A.男","A.18-24岁","A.【一线】北京、上海、广州、深圳","A.小红书","B.抖音","C.微信公众号/视频号","D.B站","E.知乎","F.微博","","","B.【中等基数】有一些多余体重，想减5-15斤左右","9","","","A.INTJ","有点后悔，但也无所谓，热量没超标反正","主要靠自己，他们不屑一顾，就行了","无","简体中文","未清洗","","中国","上海市","上海市","微信","o86_0jkBMGfqDyaoCcaIss5u0sBU","🍃","","183.193.81.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf254160e) XWEB/18163 Flue","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
